Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,82.042,-39.002,-90.0,top
C2,100nF,C_0603_1608Metric,83.82,-39.002,-90.0,top
C3,1uF,C_0603_1608Metric,96.651,-57.438,0.0,top
C4,30pF,C_0402_1005Metric,50.292,-85.852,0.0,top
C5,30pF,C_0402_1005Metric,50.264,-78.994,0.0,top
C6,100nF,C_0603_1608Metric,137.16,-53.099,-90.0,top
D1,1N5819WS,D_SOD-323,91.44,-36.195,-90.0,top
R1,8K2,R_0603_1608Metric,100.838,-77.851,180.0,top
R2,8K2,R_0603_1608Metric,58.103,-61.214,0.0,top
R3,22K,R_0402_1005Metric,97.934,-75.44,90.0,top
R4,22K,R_0402_1005Metric,99.458,-75.44,90.0,top
R5,22K,R_0402_1005Metric,100.982,-75.438,90.0,top
R6,8K2,R_0603_1608Metric,133.604,-53.099,-90.0,top
U3,SN74CB3T16211,TSSOP-56_6.1x14mm_P0.5mm,94.378,-65.82,90.0,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,51.198,-82.33,45.0,top
