Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,60.7592,-69.6164,-90.0,top
C2,100nF,C_0603_1608Metric,62.2578,-69.6164,-90.0,top
C3,1uF,C_0603_1608Metric,64.3914,-111.374,90.0,top
D1,1N5819WS,D_SOD-323,57.6096,-125.979,-90.0,top
R1,1K5,R_0402_1005Metric,79.4536,-69.2608,0.0,top
R10,8K2,R_0603_1608Metric,64.239,-81.656,90.0,top
R2,1K5,R_0402_1005Metric,79.4536,-70.2768,0.0,top
R3,1K5,R_0402_1005Metric,79.4536,-71.2674,0.0,top
R4,1K5,R_0402_1005Metric,77.5232,-81.3512,-90.0,top
R5,1K5,R_0402_1005Metric,77.0152,-83.8658,90.0,top
R6,1K5,R_0402_1005Metric,76.5834,-86.4312,90.0,top
R7,1K5,R_0402_1005Metric,76.5834,-88.9712,90.0,top
R8,1K5,R_0402_1005Metric,76.5834,-92.2732,90.0,top
R9,8K2,R_0603_1608Metric,59.2606,-70.607,90.0,top
U1,SN74HCT541,TSSOP-20_4.4x6.5mm_P0.65mm,67.3475,-72.2072,270.0,top
U2,SN74CB3T3384,TSSOP-24_4.4x7.8mm_P0.65mm,67.545,-92.1385,0.0,top
U3,SN74CB3T3384,TSSOP-24_4.4x7.8mm_P0.65mm,67.545,-122.6185,0.0,top
